,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
164,1,2,0,35.0,0,0,21.0,2
165,0,3,1,22.0,0,0,7.25,2
166,1,1,0,31.0,1,0,113.275,0
167,1,3,0,27.0,0,0,7.925,2
168,0,2,1,42.0,1,0,27.0,2
169,1,1,0,32.0,0,0,76.2917,0
170,0,2,1,30.0,0,0,10.5,2
171,1,3,1,16.0,0,0,8.05,2
172,0,2,1,27.0,0,0,13.0,2
173,0,3,1,51.0,0,0,8.05,2
174,1,1,1,38.0,1,0,90.0,2
175,0,3,1,22.0,0,0,9.35,2
176,1,2,1,19.0,0,0,10.5,2
177,0,3,1,20.5,0,0,7.25,2
178,0,2,1,18.0,0,0,13.0,2
179,1,1,0,35.0,1,0,83.475,2
180,0,3,1,29.0,0,0,7.775,2
181,0,2,1,59.0,0,0,13.5,2
182,1,3,0,5.0,4,2,31.3875,2
183,0,2,1,24.0,0,0,10.5,2
184,0,2,1,44.0,1,0,26.0,2
185,1,2,0,8.0,0,2,26.25,2
186,0,2,1,19.0,0,0,10.5,2
187,0,2,1,33.0,0,0,12.275,2
188,0,2,1,29.0,0,0,10.5,2
189,0,3,1,22.0,0,0,7.125,2
190,0,3,1,30.0,0,0,7.225,0
191,0,1,1,44.0,2,0,90.0,1
192,0,3,0,25.0,0,0,7.775,2
193,1,2,0,24.0,0,2,14.5,2
194,1,1,1,37.0,1,1,52.5542,2
195,0,2,1,54.0,1,0,26.0,2
196,0,3,0,29.0,1,1,10.4625,2
197,0,1,1,62.0,0,0,26.55,2
198,0,3,1,30.0,1,0,16.1,2
199,0,3,0,41.0,0,2,20.2125,2
200,1,3,0,29.0,0,2,15.2458,0
201,1,1,0,30.0,0,0,86.5,2
202,1,1,0,35.0,0,0,512.3292,0
203,1,2,0,50.0,0,1,26.0,2
204,1,3,1,3.0,4,2,31.3875,2
205,0,1,1,52.0,1,1,79.65,2
206,0,1,1,40.0,0,0,0.0,2
207,0,2,1,36.0,0,0,10.5,2
208,0,3,1,16.0,4,1,39.6875,2
209,1,3,1,25.0,1,0,7.775,2
210,1,1,0,58.0,0,1,153.4625,2
211,1,1,0,35.0,0,0,135.6333,2
212,1,3,1,25.0,0,0,0.0,2
213,1,2,0,41.0,0,1,19.5,2
214,0,1,1,37.0,0,1,29.7,0
215,1,1,0,63.0,1,0,77.9583,2
216,0,3,0,45.0,0,0,7.75,2
217,0,3,1,7.0,4,1,29.125,1
218,1,3,0,35.0,1,1,20.25,2
219,0,3,1,65.0,0,0,7.75,1
220,0,3,1,28.0,0,0,7.8542,2
221,0,3,1,16.0,0,0,9.5,2
222,1,3,1,19.0,0,0,8.05,2
223,0,3,1,33.0,0,0,8.6625,0
224,1,3,1,30.0,0,0,9.5,2
225,0,3,1,22.0,0,0,7.8958,2
226,1,2,1,42.0,0,0,13.0,2
227,1,3,0,22.0,0,0,7.75,1
228,1,1,0,26.0,0,0,78.85,2
229,1,1,0,19.0,1,0,91.0792,0
230,0,2,1,36.0,0,0,12.875,0
231,0,3,0,24.0,0,0,8.85,2
232,0,3,1,24.0,0,0,7.8958,2
233,0,3,1,23.5,0,0,7.2292,0
234,0,1,0,2.0,1,2,151.55,2
235,1,1,0,50.0,0,1,247.5208,0
236,0,3,1,19.0,0,0,0.0,2
237,1,1,1,0.92,1,2,151.55,2
238,1,1,0,17.0,1,0,108.9,0
239,0,2,1,30.0,1,0,24.0,0
240,1,1,0,30.0,0,0,56.9292,0
241,1,1,0,24.0,0,0,83.1583,0
242,1,1,0,18.0,2,2,262.375,0
243,0,2,0,26.0,1,1,26.0,2
244,0,2,1,43.0,1,1,26.25,2
245,1,3,0,26.0,0,0,7.8542,2
246,1,2,0,24.0,1,0,26.0,2
247,0,2,1,54.0,0,0,14.0,2
248,1,1,0,31.0,0,2,164.8667,2
249,1,1,0,40.0,1,1,134.5,0
250,0,3,1,27.0,0,0,7.8958,2
251,1,2,0,30.0,0,0,12.35,1
252,1,2,0,22.0,1,1,29.0,2
253,1,1,0,36.0,0,0,135.6333,0
254,0,3,1,61.0,0,0,6.2375,2
255,1,2,0,36.0,0,0,13.0,2
256,1,3,0,31.0,1,1,20.525,2
257,1,1,0,16.0,0,1,57.9792,0
258,0,1,1,45.5,0,0,28.5,2
259,0,1,1,38.0,0,1,153.4625,2
260,0,3,1,16.0,2,0,18.0,2
261,0,1,1,29.0,1,0,66.6,2
262,1,1,0,41.0,0,0,134.5,0
263,1,3,1,45.0,0,0,8.05,2
264,0,1,1,45.0,0,0,35.5,2
265,1,2,1,2.0,1,1,26.0,2
266,1,1,0,24.0,3,2,263.0,2
267,0,2,1,28.0,0,0,13.0,2
268,0,2,1,36.0,0,0,13.0,2
269,1,2,0,24.0,0,0,13.0,2
270,1,2,0,40.0,0,0,13.0,2
271,1,3,1,3.0,1,1,15.9,2
272,0,3,1,42.0,0,0,8.6625,2
273,0,3,1,23.0,0,0,9.225,2
274,0,3,1,15.0,1,1,7.2292,0
275,0,3,1,25.0,1,0,17.8,2
276,1,1,0,22.0,0,1,55.0,2
277,0,2,0,38.0,0,0,13.0,2
278,0,3,1,40.0,1,4,27.9,2
279,0,2,1,29.0,1,0,27.7208,0
280,0,3,0,45.0,0,1,14.4542,0
281,0,3,1,35.0,0,0,7.05,2
282,0,3,1,30.0,0,0,7.25,2
283,1,1,0,60.0,1,0,75.25,0
284,1,1,0,24.0,0,0,69.3,0
285,1,1,1,25.0,1,0,55.4417,0
286,0,3,1,18.0,1,0,6.4958,2
287,0,3,1,19.0,0,0,8.05,2
288,0,1,1,22.0,0,0,135.6333,0
289,0,3,0,3.0,3,1,21.075,2
290,1,3,0,22.0,0,0,7.25,2
291,0,1,1,27.0,0,2,211.5,0
292,0,3,1,20.0,0,0,4.0125,0
293,0,3,1,19.0,0,0,7.775,2
294,1,1,0,42.0,0,0,227.525,0
295,1,3,0,1.0,0,2,15.7417,0
296,0,3,1,32.0,0,0,7.925,2
297,1,1,0,35.0,1,0,52.0,2
298,0,2,1,18.0,0,0,73.5,2
299,0,3,1,1.0,5,2,46.9,2
300,1,2,0,17.0,0,0,12.0,0
301,1,1,1,36.0,1,2,120.0,2
302,1,3,1,21.0,0,0,7.7958,2
303,0,3,1,28.0,2,0,7.925,2
304,1,1,0,23.0,1,0,113.275,0
305,1,3,0,24.0,0,2,16.7,2
306,0,3,1,22.0,0,0,7.7958,2
307,0,3,0,31.0,0,0,7.8542,2
308,0,2,1,46.0,0,0,26.0,2
309,0,2,1,23.0,0,0,10.5,2
310,1,2,0,28.0,0,0,12.65,2
311,1,3,1,39.0,0,0,7.925,2
312,0,3,1,26.0,0,0,8.05,2
313,0,3,0,21.0,1,0,9.825,2
314,0,3,1,28.0,1,0,15.85,2
315,0,3,0,20.0,0,0,8.6625,2
316,0,2,1,34.0,1,0,21.0,2
317,0,3,1,51.0,0,0,7.75,2
318,1,2,1,3.0,1,1,18.75,2
319,0,3,1,21.0,0,0,7.775,2
320,1,1,0,33.0,1,0,90.0,1
321,1,3,1,44.0,0,0,7.925,2
322,1,2,0,34.0,1,1,32.5,2
323,1,2,0,18.0,0,2,13.0,2
324,0,3,0,10.0,0,2,24.15,2
325,0,3,1,21.0,0,0,7.7333,1
326,0,3,1,29.0,0,0,7.875,2
327,0,3,0,28.0,1,1,14.4,2
328,0,3,1,18.0,1,1,20.2125,2
329,1,2,0,28.0,1,0,26.0,2
330,1,2,0,19.0,0,0,26.0,2
331,1,3,1,32.0,0,0,8.05,2
332,1,1,1,28.0,0,0,26.55,2
333,1,2,0,42.0,1,0,26.0,2
334,0,3,1,17.0,0,0,7.125,2
335,0,1,1,50.0,1,0,55.9,2
336,1,1,0,14.0,1,2,120.0,2
337,0,3,0,21.0,2,2,34.375,2
338,1,2,0,24.0,2,3,18.75,2
339,0,1,1,64.0,1,4,263.0,2
340,0,2,1,31.0,0,0,10.5,2
341,1,2,0,45.0,1,1,26.25,2
342,0,3,1,20.0,0,0,9.5,2
343,0,3,1,25.0,1,0,7.775,2
344,1,2,0,28.0,0,0,13.0,2
345,1,1,1,4.0,0,2,81.8583,2
346,1,2,0,13.0,0,1,19.5,2
347,1,1,1,34.0,0,0,26.55,2
348,1,3,0,5.0,2,1,19.2583,0
349,1,1,1,52.0,0,0,30.5,2
350,0,2,1,36.0,1,2,27.75,2
351,0,1,1,30.0,0,0,27.75,0
352,1,1,1,49.0,1,0,89.1042,0
353,1,3,1,29.0,0,0,7.8958,0
354,0,1,1,65.0,0,0,26.55,2
355,1,2,0,50.0,0,0,10.5,2
356,1,1,1,48.0,0,0,26.55,2
357,0,3,1,34.0,0,0,8.05,2
358,0,1,1,47.0,0,0,38.5,2
359,0,2,1,48.0,0,0,13.0,2
360,0,3,1,38.0,0,0,7.05,2
361,0,1,1,56.0,0,0,26.55,2
362,1,3,0,0.75,2,1,19.2583,0
363,0,3,1,38.0,0,0,8.6625,2
364,1,2,0,33.0,1,2,27.75,2
365,1,2,0,23.0,0,0,13.7917,0
366,0,3,0,22.0,0,0,9.8375,2
367,0,3,1,29.0,1,0,7.0458,2
368,0,3,1,22.0,0,0,7.5208,2
369,1,3,0,2.0,0,1,12.2875,2
370,0,3,1,9.0,5,2,46.9,2
371,0,3,1,50.0,0,0,8.05,2
372,1,3,0,63.0,0,0,9.5875,2
373,1,1,1,25.0,1,0,91.0792,0
374,1,1,0,35.0,1,0,90.0,2
375,0,1,1,58.0,0,0,29.7,0
376,1,3,1,9.0,1,1,15.9,2
377,0,3,1,21.0,0,0,7.25,2
378,0,1,1,55.0,0,0,30.5,2
379,1,1,0,54.0,1,0,78.2667,0
380,0,1,0,25.0,1,2,151.55,2
381,0,3,1,24.0,0,0,7.7958,2
382,0,3,0,21.0,0,0,7.75,1
383,0,3,0,37.0,0,0,9.5875,2
384,1,1,0,16.0,0,0,86.5,2
385,0,1,1,18.0,1,0,108.9,0
386,1,2,0,33.0,0,2,26.0,2
387,0,3,1,28.0,0,0,22.525,2
388,1,3,1,26.0,0,0,56.4958,2
389,1,3,1,29.0,0,0,7.75,1
390,1,1,1,36.0,0,0,26.2875,2
391,1,1,0,54.0,1,0,59.4,0
392,0,3,1,24.0,0,0,7.4958,2
393,0,1,1,47.0,0,0,34.0208,2
394,1,2,0,34.0,0,0,10.5,2
395,1,2,0,36.0,1,0,26.0,2
396,0,3,1,32.0,0,0,7.8958,2
397,1,1,0,30.0,0,0,93.5,2
398,1,1,0,44.0,0,1,57.9792,0
399,0,3,1,40.5,0,0,7.75,1
400,0,3,1,39.0,0,0,7.925,2
401,0,2,1,23.0,2,1,11.5,2
402,1,2,0,2.0,1,1,26.0,2
403,0,3,1,17.0,1,1,7.2292,0
404,0,3,0,30.0,0,0,8.6625,2
405,1,2,0,7.0,0,2,26.25,2
406,0,1,1,45.0,0,0,26.55,2
407,1,1,0,30.0,0,0,106.425,0
408,1,1,0,22.0,0,2,49.5,0
409,1,1,0,36.0,0,2,71.0,2
410,0,3,0,9.0,4,2,31.275,2
411,0,3,0,11.0,4,2,31.275,2
412,1,2,1,32.0,1,0,26.0,2
413,0,1,1,50.0,1,0,106.425,0
414,0,1,1,64.0,0,0,26.0,2
415,1,2,0,19.0,1,0,26.0,2
416,0,3,1,33.0,1,1,20.525,2
417,1,2,1,8.0,1,1,36.75,2
418,1,1,1,17.0,0,2,110.8833,0
419,0,2,1,27.0,0,0,26.0,2
420,1,3,1,22.0,0,0,7.225,0
421,1,3,0,22.0,0,0,7.775,2
422,1,1,0,48.0,1,0,39.6,0
423,1,1,0,39.0,1,1,79.65,2
424,1,3,0,36.0,1,0,17.4,2
425,0,3,1,40.0,0,0,7.8958,2
426,0,2,1,28.0,0,0,13.5,2
427,0,3,1,24.0,2,0,24.15,2
428,0,3,1,19.0,0,0,7.8958,2
429,0,3,0,29.0,0,4,21.075,2
430,1,3,1,32.0,0,0,7.8542,2
431,1,2,1,62.0,0,0,10.5,2
432,1,1,0,53.0,2,0,51.4792,2
433,1,1,1,36.0,0,0,26.3875,2
434,0,3,1,16.0,0,0,8.05,2
435,0,3,1,19.0,0,0,14.5,2
436,1,2,0,34.0,0,0,13.0,2
437,1,1,0,39.0,1,0,55.9,2
438,1,3,1,32.0,0,0,7.925,2
439,1,2,0,25.0,1,1,30.0,2
440,1,1,0,39.0,1,1,110.8833,0
441,0,2,1,54.0,0,0,26.0,2
442,0,1,1,36.0,0,0,40.125,0
443,1,1,0,18.0,0,2,79.65,2
444,0,2,1,47.0,0,0,15.0,2
445,1,1,1,60.0,1,1,79.2,0
446,0,3,1,35.0,0,0,7.125,2
447,1,1,0,52.0,1,0,78.2667,0
448,0,3,1,47.0,0,0,7.25,2
449,0,2,1,37.0,1,0,26.0,2
450,0,3,1,36.0,1,1,24.15,2
451,0,3,1,49.0,0,0,0.0,2
452,1,1,1,49.0,1,0,56.9292,0
453,1,2,0,24.0,2,1,27.0,2
454,0,3,1,44.0,0,0,8.05,2
455,1,1,1,35.0,0,0,26.55,0
456,0,3,1,36.0,1,0,15.55,2
457,0,3,1,30.0,0,0,7.8958,2
458,1,1,1,27.0,0,0,30.5,2
459,1,2,0,22.0,1,2,41.5792,0
460,1,1,0,40.0,0,0,153.4625,2
461,0,3,0,39.0,1,5,31.275,2
462,1,2,0,24.0,1,2,65.0,2
463,0,3,1,34.0,1,1,14.4,2
464,0,3,0,26.0,1,0,16.1,2
465,1,2,0,4.0,2,1,39.0,2
466,0,2,1,26.0,0,0,10.5,2
467,0,3,1,27.0,1,0,14.4542,0
468,1,1,1,42.0,1,0,52.5542,2
469,1,3,1,20.0,1,1,15.7417,0
470,0,3,1,21.0,0,0,7.8542,2
471,0,3,1,21.0,0,0,16.1,2
472,0,1,1,61.0,0,0,32.3208,2
473,0,2,1,57.0,0,0,12.35,1
474,1,1,0,21.0,0,0,77.9583,2
475,0,3,1,26.0,0,0,7.8958,2
476,0,3,1,51.0,0,0,7.0542,2
477,1,1,1,32.0,0,0,30.5,0
478,0,3,0,9.0,3,2,27.9,2
479,0,2,1,31.0,1,1,26.25,2
480,0,3,0,41.0,0,5,39.6875,2
481,0,3,0,2.0,3,2,27.9,2
482,1,1,1,48.0,1,0,76.7292,0
483,1,1,1,56.0,0,0,35.5,0
484,1,3,0,23.0,0,0,7.55,2
485,1,2,0,18.0,0,1,23.0,2
486,0,3,1,21.0,0,0,8.4333,2
487,0,3,0,18.0,0,0,6.75,1
488,0,2,1,24.0,2,0,73.5,2
489,0,3,0,32.0,1,1,15.5,1
490,0,2,1,23.0,0,0,13.0,2
491,0,1,1,58.0,0,2,113.275,0
492,1,1,1,50.0,2,0,133.65,2
493,0,3,1,40.0,0,0,7.225,0
494,0,1,1,47.0,0,0,25.5875,2
495,0,3,1,36.0,0,0,7.4958,2
496,1,3,1,20.0,1,0,7.925,2
497,0,2,1,32.0,2,0,73.5,2
498,0,3,1,43.0,0,0,8.05,2
499,1,2,0,40.0,1,1,39.0,2
500,0,1,1,31.0,1,0,52.0,2
501,1,2,1,31.0,0,0,13.0,2
502,0,3,1,18.0,0,0,7.775,2
503,0,3,1,24.5,0,0,8.05,2
504,1,3,0,18.0,0,0,9.8417,2
505,0,3,0,43.0,1,6,46.9,2
506,1,1,1,36.0,0,1,512.3292,0
507,1,1,1,27.0,0,0,76.7292,0
508,0,3,1,20.0,0,0,9.225,2
509,0,3,1,14.0,5,2,46.9,2
510,0,2,1,60.0,1,1,39.0,2
511,0,2,1,25.0,1,2,41.5792,0
512,0,3,1,14.0,4,1,39.6875,2
513,0,3,1,19.0,0,0,10.1708,2
514,0,3,1,18.0,0,0,7.7958,2
515,1,1,0,15.0,0,1,211.3375,2
516,1,1,1,31.0,1,0,57.0,2
517,1,3,0,4.0,0,1,13.4167,0
518,0,3,1,25.0,0,0,7.225,0
519,0,1,1,60.0,0,0,26.55,2
520,0,2,1,52.0,0,0,13.5,2
521,0,1,1,49.0,1,1,110.8833,0
522,0,3,1,42.0,0,0,7.65,2
523,1,1,0,18.0,1,0,227.525,0
524,1,1,1,35.0,0,0,26.2875,2
525,0,3,0,18.0,0,1,14.4542,0
526,0,3,1,25.0,0,0,7.7417,1
527,0,3,1,26.0,1,0,7.8542,2
528,0,2,1,39.0,0,0,26.0,2
529,1,2,0,45.0,0,0,13.5,2
530,1,1,1,42.0,0,0,26.2875,2
531,1,1,0,22.0,0,0,151.55,2
532,1,1,0,24.0,0,0,49.5042,0
533,1,1,1,48.0,1,0,52.0,2
534,0,3,1,29.0,0,0,9.4833,2
535,0,2,1,52.0,0,0,13.0,2
536,0,3,1,19.0,0,0,7.65,2
537,1,1,0,38.0,0,0,227.525,0
538,1,2,0,27.0,0,0,10.5,2
539,0,3,1,33.0,0,0,7.775,2
540,1,2,0,6.0,0,1,33.0,2
541,0,3,1,17.0,1,0,7.0542,2
542,0,2,1,34.0,0,0,13.0,2
543,0,2,1,50.0,0,0,13.0,2
544,1,1,1,27.0,1,0,53.1,2
545,0,3,1,20.0,0,0,8.6625,2
546,1,2,0,30.0,3,0,21.0,2
547,0,2,1,25.0,1,0,26.0,2
548,0,3,0,25.0,1,0,7.925,2
549,1,1,0,29.0,0,0,211.3375,2
550,0,3,1,11.0,0,0,18.7875,0
551,0,3,1,28.5,0,0,16.1,2
552,0,3,0,48.0,1,3,34.375,2
553,1,1,1,35.0,0,0,512.3292,0
554,0,1,1,36.0,1,0,78.85,2
555,1,1,0,21.0,2,2,262.375,0
556,0,3,1,24.0,1,0,16.1,2
557,1,3,1,31.0,0,0,7.925,2
558,0,3,1,16.0,1,1,20.25,2
559,1,2,0,30.0,0,0,13.0,2
560,0,1,1,19.0,1,0,53.1,2
561,0,3,1,31.0,0,0,7.75,1
562,1,2,0,4.0,1,1,23.0,2
563,1,3,1,6.0,0,1,12.475,2
564,0,3,1,33.0,0,0,9.5,2
565,0,3,1,23.0,0,0,7.8958,2
566,1,2,0,48.0,1,2,65.0,2
567,1,2,1,0.67,1,1,14.5,2
568,0,3,1,28.0,0,0,7.7958,2
569,1,1,0,33.0,0,0,86.5,2
570,0,3,1,41.0,0,0,7.125,2
571,1,3,1,20.0,0,0,7.2292,0
572,1,1,0,36.0,1,2,120.0,2
573,0,3,1,16.0,0,0,7.775,2
574,1,1,0,51.0,1,0,77.9583,2
575,0,3,0,30.5,0,0,7.75,1
576,0,3,1,32.0,0,0,8.3625,2
577,0,3,1,24.0,0,0,9.5,2
578,0,3,1,48.0,0,0,7.8542,2
579,0,2,0,57.0,0,0,10.5,2
580,1,2,0,54.0,1,3,23.0,2
581,0,3,1,18.0,0,0,7.75,2
582,1,3,0,5.0,0,0,12.475,2
583,1,1,0,43.0,0,1,211.3375,2
584,1,3,0,13.0,0,0,7.2292,0
585,1,1,0,17.0,1,0,57.0,2
586,0,1,1,29.0,0,0,30.0,2
587,0,3,1,25.0,0,0,7.05,2
588,0,3,1,25.0,0,0,7.25,2
589,1,3,0,18.0,0,0,7.4958,2
590,0,3,1,8.0,4,1,29.125,1
591,1,3,1,1.0,1,2,20.575,2
592,0,1,1,46.0,0,0,79.2,0
593,0,2,1,16.0,0,0,26.0,2
594,0,3,1,25.0,0,0,7.8958,2
595,0,2,1,39.0,0,0,13.0,2
596,1,1,0,49.0,0,0,25.9292,2
597,1,3,0,31.0,0,0,8.6833,2
598,0,3,1,30.0,0,0,7.2292,0
599,0,3,0,30.0,1,1,24.15,2
600,1,2,0,31.0,1,1,26.25,2
601,1,1,1,11.0,1,2,120.0,2
602,1,3,1,0.42,0,1,8.5167,0
603,1,3,1,27.0,0,0,6.975,2
604,0,3,1,31.0,0,0,7.775,2
605,0,1,1,39.0,0,0,0.0,2
606,0,3,0,18.0,0,0,7.775,2
607,1,1,0,33.0,1,0,53.1,2
608,0,3,1,26.0,0,0,7.8875,2
609,0,3,1,39.0,0,0,24.15,2
610,0,2,1,35.0,0,0,10.5,2
611,0,3,0,6.0,4,2,31.275,2
612,0,3,1,30.5,0,0,8.05,2
613,0,3,0,23.0,0,0,7.925,2
614,0,2,1,31.0,1,1,37.0042,0
615,0,3,1,43.0,0,0,6.45,2
616,0,3,1,10.0,3,2,27.9,2
617,1,1,0,52.0,1,1,93.5,2
618,1,3,1,27.0,0,0,8.6625,2
619,0,1,1,38.0,0,0,0.0,2
620,1,3,0,27.0,0,1,12.475,2
621,0,3,1,2.0,4,1,39.6875,2
622,1,2,1,1.0,0,2,37.0042,0
623,1,3,0,15.0,1,0,14.4542,0
